tau,oneR2_g0.3,oneR2_g1.0,oneR2_g3.0,oneR2_g1000.0
0.1,0.0110976,0.00275242,0.00251036,0
0.120045,0.0142267,0.00336897,0.0030307,0
0.144109,0.0180207,0.00413055,0.00366043,0
0.172997,0.0225172,0.00507146,0.0044222,0
0.207675,0.0277162,0.0062329,0.0053427,0
0.249304,0.0335729,0.0076634,0.00645281,0
0.299278,0.0399957,0.00941862,0.00778747,0
0.35927,0.0468516,0.0115602,0.0093849,0
0.431288,0.053981,0.0141533,0.011285,0
0.517741,0.0612168,0.0172621,0.0135268,0
0.621525,0.0684068,0.0209438,0.0161439,0
0.746113,0.0754322,0.02524,0.0191596,0
0.895675,0.0822192,0.0301668,0.0225795,0
1.07522,0.0887383,0.0357038,0.0263847,0
1.29075,0.0949935,0.041783,0.030525,0
1.54949,0.100998,0.0482805,0.0349148,0
1.86009,0.106731,0.0550115,0.0394337,0
2.23295,0.112112,0.0617299,0.0439332,0
2.68056,0.11697,0.0681371,0.0482503,0
3.21789,0.120974,0.0738972,0.052227,0
3.86293,0.123691,0.0786621,0.0557321,0
4.63728,0.124783,0.0821052,0.0586774,0
5.56684,0.12386,0.0839604,0.0610199,0
6.68274,0.120249,0.0840618,0.0627422,0
8.02233,0.113571,0.0823703,0.0638102,0
9.63045,0.104676,0.0790016,0.0641215,0
11.5609,0.094896,0.0742563,0.0634817,0
13.8784,0.0834301,0.0684241,0.061646,0
16.6604,0.0711018,0.061916,0.0584321,0
20,0.0615691,0.0553085,0.0538843,0
