tau_1,tau_2,tau_3,gamma_1,gamma_2,gamma_3,alpha,iters,time_s,PhiI,Finf,oneR2_het,oneR2_eq,p_star,mu_1,mu_2,mu_3,pr_gap,converged,init,oneR2_weighted,oneR2_grid,V_full_1,V_full_2,V_full_3,V_pub_1,V_pub_2,V_pub_3,dV_1,dV_2,dV_3,welfare_full,welfare_pub,welfare_gain,resolved_PhiI,resolved_time_s
3.0,3.0,3.0,0.3,0.3,0.3,1.0,437,2.06,9.515e-09,2.819e-04,2.414611e-03,2.414611e-03,0.9704431219,0.97615467,0.96338672,0.97615467,0.012768,1,cold,5.366220e-04,2.414611e-03,1.428487e+00,1.428487e+00,1.428487e+00,1.430201e+00,1.430201e+00,1.430201e+00,-1.713626e-03,-1.713626e-03,-1.713626e-03,4.285461e+00,4.290602e+00,-5.140879e-03,9.277e-11,2.89
1.0,1.0,1.0,1.0,1.0,1.0,1.0,917,4.44,9.967e-09,1.265e-07,1.008644e-04,1.008644e-04,0.7450230760,0.74563243,0.74380436,0.74563243,0.001828,1,cold,1.415966e-04,1.008651e-04,-1.279003e-07,-1.279003e-07,-1.279003e-07,2.440902e-05,2.440902e-05,2.440902e-05,-2.453692e-05,-2.453692e-05,-2.453692e-05,-3.837008e-07,7.322707e-05,-7.361077e-05,9.913e-11,10.82
3.0,3.0,3.0,1.0,1.0,1.0,1.0,412,2.06,9.820e-09,8.456e-05,2.857366e-03,2.857366e-03,0.9739611790,0.97910559,0.96367236,0.97910559,0.015433,1,cold,6.349969e-04,2.857366e-03,-3.367395e-05,-3.367395e-05,-3.367395e-05,4.626356e-04,4.626356e-04,4.626356e-04,-4.963096e-04,-4.963096e-04,-4.963096e-04,-1.010219e-04,1.387907e-03,-1.488929e-03,9.913e-11,2.95
1.0,1.0,1.0,3.0,3.0,3.0,1.0,128,0.61,9.991e-09,9.702e-08,1.009855e-04,1.009855e-04,0.7450287472,0.74563785,0.74380863,0.74563785,0.001829,1,warm,1.417116e-04,1.009857e-04,-5.000000e-01,-5.000000e-01,-5.000000e-01,-4.999919e-01,-4.999919e-01,-4.999919e-01,-8.141528e-06,-8.141528e-06,-8.141528e-06,-1.500000e+00,-1.499976e+00,-2.442459e-05,9.913e-11,19.53
3.0,3.0,3.0,3.0,3.0,3.0,1.0,426,2.02,9.301e-09,2.819e-05,3.079038e-03,3.079038e-03,0.9754760076,0.98024802,0.96382061,0.98024802,0.016427,1,cold,7.117040e-04,3.079038e-03,-5.000124e-01,-5.000124e-01,-5.000124e-01,-4.998459e-01,-4.998459e-01,-4.998459e-01,-1.665483e-04,-1.665483e-04,-1.665483e-04,-1.500037e+00,-1.499538e+00,-4.996450e-04,9.641e-11,3.04
0.3,0.3,0.3,10.0,10.0,10.0,1.0,65,0.30,9.981e-09,1.216e-08,1.336820e-12,1.336597e-12,0.5744428515,0.57444286,0.57444283,0.57444286,0.000000,1,cold,3.669834e-07,2.167193e-07,-1.111111e-01,-1.111111e-01,-1.111111e-01,-1.111462e-01,-1.111462e-01,-1.111462e-01,3.508156e-05,3.508156e-05,3.508156e-05,-3.333333e-01,-3.334386e-01,1.052447e-04,1.767e-09,31.61
1.0,1.0,1.0,10.0,10.0,10.0,1.0,84,0.40,9.986e-09,4.151e-08,1.010275e-04,1.010275e-04,0.7450307195,0.74563973,0.74381011,0.74563973,0.001830,1,warm,1.417523e-04,1.010284e-04,-1.111111e-01,-1.111111e-01,-1.111111e-01,-1.111087e-01,-1.111087e-01,-1.111087e-01,-2.438516e-06,-2.438516e-06,-2.438516e-06,-3.333334e-01,-3.333261e-01,-7.315547e-06,9.913e-11,23.17
3.0,3.0,3.0,10.0,10.0,10.0,1.0,396,1.87,9.294e-09,8.456e-06,3.128065e-03,3.128065e-03,0.9760541138,0.98066859,0.96385381,0.98066859,0.016815,1,cold,7.341033e-04,3.128065e-03,-1.111150e-01,-1.111150e-01,-1.111150e-01,-1.110650e-01,-1.110650e-01,-1.110650e-01,-4.997998e-05,-4.997998e-05,-4.997998e-05,-3.333449e-01,-3.331950e-01,-1.499399e-04,9.459e-11,2.89
0.3,0.3,0.3,50.0,50.0,50.0,1.0,28,0.14,9.591e-09,2.192e-09,1.073586e-13,1.071365e-13,0.5744425316,0.57444253,0.57444253,0.57444253,0.000000,1,cold,3.622836e-07,2.136699e-07,-2.040816e-02,-2.040816e-02,-2.040816e-02,-2.041516e-02,-2.041516e-02,-2.041516e-02,6.997937e-06,6.997937e-06,6.997937e-06,-6.122449e-02,-6.124548e-02,2.099381e-05,2.043e-08,31.78
3.0,3.0,3.0,50.0,50.0,50.0,1.0,489,2.29,8.936e-09,1.691e-06,3.154042e-03,3.154042e-03,0.9762547750,0.98081069,0.96386410,0.98081069,0.016947,1,cold,7.414151e-04,3.154042e-03,-2.040895e-02,-2.040895e-02,-2.040895e-02,-2.039892e-02,-2.039892e-02,-2.039892e-02,-1.002419e-05,-1.002419e-05,-1.002419e-05,-6.122684e-02,-6.119677e-02,-3.007257e-05,9.095e-11,3.28
3.0,3.0,3.0,0.3,0.3,3.0,1.0,801,3.89,9.958e-09,1.973e-04,2.626995e-01,5.121572e-03,0.9518174669,0.95205309,0.95158867,0.95177398,0.000464,1,warm,9.897753e-02,2.633376e-01,1.428090e+00,1.428090e+00,-4.995578e-01,1.435715e+00,1.435715e+00,-4.995099e-01,-7.624784e-03,-7.624784e-03,-4.784184e-05,2.356622e+00,2.371920e+00,-1.529741e-02,1.595e-05,31.11
3.0,3.0,3.0,0.3,1.0,10.0,1.0,645,3.25,9.936e-09,1.250e-04,4.580757e-01,7.050297e-03,0.9249714634,0.92727008,0.91813966,0.91898473,0.009130,1,cold,2.040024e-01,4.580758e-01,1.428201e+00,1.138879e-05,-1.109566e-01,1.436529e+00,1.883136e-03,-1.109388e-01,-8.328182e-03,-1.871748e-03,-1.787908e-05,1.317256e+00,1.327474e+00,-1.021781e-02,9.913e-11,6.86
3.0,3.0,3.0,0.3,10.0,10.0,1.0,832,3.96,9.940e-09,9.959e-05,6.323676e-01,8.326162e-03,0.9587311007,0.95893023,0.94873601,0.96115541,0.010194,1,cold,3.380031e-01,6.323676e-01,1.428427e+00,-1.110708e-01,-1.110708e-01,1.434070e+00,-1.110045e-01,-1.110045e-01,-5.643023e-03,-6.621072e-05,-6.621072e-05,1.206285e+00,1.212061e+00,-5.775444e-03,9.641e-11,6.29
3.0,3.0,3.0,0.3,50.0,50.0,0.3,2163,10.21,9.947e-09,9.516e-05,6.592635e-01,6.141377e-03,0.9494376783,0.94952688,0.93166911,0.95000443,0.017858,1,cold,3.700787e-01,6.592635e-01,1.428535e+00,-2.039895e-02,-2.039895e-02,1.434715e+00,-2.038302e-02,-2.038302e-02,-6.179606e-03,-1.592897e-05,-1.592897e-05,1.387737e+00,1.393949e+00,-6.211464e-03,9.957e-11,19.27
